cat_num,cat_real_name,cat_field
3,Mechanisms,Science
5,Reasons,Ethics
6,Grounding,Metaphysics
202,Justification,Epistemology
201,Contextualism,Epistemology
8,Perceptual Content,Mind
7,Relativism,Language
9,Exclusion Problem,Metaphysics
204,Disagreement,Epistemology
11,Parthood,Metaphysics
10,Dispositions,Metaphysics
203,Virtue Epistemology,Epistemology
13,Models,Science
15,Debunking Arguments,Ethics
205,Probabilism,Epistemology
12,Causation,Metaphysics
14,Coherence,Epistemology
22,Egalitarianism,Political
206,Knowledge Norms,Epistemology
19,Physicalism,Mind
207,Chance,Metaphysics
17,Know How,Epistemology
20,Intuitions,Epistemology
16,Sleeping Beauty,Epistemology
208,Testimony,Epistemology
18,Fitness,Science
21,Presentism,Metaphysics
23,Scientific Realism,Science
26,Logical Consequence,Logic
25,Normative Testimony,Aesthetics
37,Kantian Non-Conceptualism,Kant
41,Function,Science
31,Material Constitution,Metaphysics
29,Responsibility,Ethics
27,Indiscernibility,Science
24,Belief,Mind
28,Expressivism,Ethics
33,Structural Realism,Science
40,Extended Mind,Mind
44,Empty Names,Language
34,Emotion,Mind
35,Ceteris Paribus,Science
38,Epistemic Justice,Epistemology
30,Biological Causation,Science
36,Scientific Values,Science
32,Color,Mind
51,Welfare and Desire,Ethics
42,Vagueness,Logic
39,Scientific Communities,Science
61,Artworks,Aesthetics
50,Self-Defence,Ethics
66,Propositions,Language
48,Plurals,Logic
62,Virtues,Ethics
56,Forgiveness,Ethics
46,Alternate Possibilities,Free Will
43,Ought Implies Can,Ethics
96,Sets,Logic
54,Animalism,Metaphysics
49,Constructivism,Ethics
45,Social Kinds,Metaphysics
79,Shared Action,Ethics
58,Indexicals,Language
89,Deflationism,Logic
77,Love,Ethics
87,Biological Essentialism,Science
71,Modal Epistemology,Epistemology
72,Collective Responsibility,Political
52,Race,Science
67,Consequentializing,Ethics
76,Scientific Theories,Science
47,Truth Pluralism,Logic
69,Imagination,Mind
59,Pain,Mind
57,Higher-Order Consciousness,Mind
86,Proof Theory,Logic
55,Error Theory,Ethics
80,Aesthetic Value,Aesthetics
64,Parsimony,Metaphysics
78,Logical Pluralism,Logic
60,Lying,Language
84,Moral Motivation,Ethics
53,Parity,Ethics
74,Group Belief,Epistemology
65,Ideal Theory,Political
83,Names,Language
92,Caring and Agency,Ethics
63,Conditionals,Language
146,Yablo's Paradox,Logic
93,Value Aggregation,Ethics
95,Classical Logic and Paradox,Logic
82,Inference to the Best Explanation,Science
112,Duties to the Non-Existent,Ethics
68,Manipulation Argument,Free Will
75,Two-Dimensional Semantics,Mind
88,Trust,Ethics
105,Narrative,Ethics
70,Knobe Effect,Ethics
73,Decision Theory,Ethics
94,Ethics and Risk,Ethics
101,Imaginative Resistance,Aesthetics
81,Temporal Experience,Metaphysics
99,Harm,Ethics
109,Rejection,Logic
209,Reliabilism,Epistemology
90,Fitch's Paradox,Logic
115,Collaborative Research,Science
114,Meaning in Biology,Science
144,Kant on Belief,Kant
108,Levels of Selection,Science
107,Consequentialism and Collective Action,Ethics
97,Inconsistent Languages,Logic
151,Kant on Ethics,Kant
128,The Myth of the Mental,Mind
98,The Luck Argument,Free Will
143,Modal Fictionalism,Metaphysics
100,Metaphysics of Groups,Metaphysics
91,Quantum Ontology,Science
119,Branching Time,Logic
132,Promises,Ethics
85,Moore's Paradox,Epistemology
120,Rigidity,Language
149,Things in Themselves,Kant
157,Death,Ethics
104,Counterparts,Metaphysics
164,Immoralism,Aesthetics
126,Transformative Experience,Ethics
106,Infinitism,Epistemology
103,Inference,Epistemology
121,Family,Ethics
102,What It's Like,Mind
117,Information in Biology,Science
158,Kantian Duty,Kant
124,Benefiting From Injustice,Political
133,Silencing,Language
145,Akrasia,Ethics
110,Ontic Vagueness,Metaphysics
113,Simulations,Science
130,Historical Science,Science
111,Moral Uncertainty,Ethics
135,Actuality,Logic
116,Counter-Closure,Epistemology
165,Ontological Pluralism,Metaphysics
140,Generics,Language
150,Philippa Foot,Ethics
122,Predictive Processing,Mind
134,Concepts,Mind
137,Welfare and Goals,Ethics
131,Double Effect,Ethics
147,Just War Theory,Political
155,Prediction and Accomodation,Science
129,Causal Markov,Science
163,Prioritarianism,Political
156,Belief Aggregation,Political
118,Creeping Minimalism,Ethics
136,Direct Argument,Free Will
138,Evil,Ethics
125,Constructive Empiricism,Science
127,Slurs,Language
160,Supererogatory,Ethics
123,Self-Knowledge,Mind
159,Quantum Field Theory,Science
153,Temporal Perception,Mind
154,The Empirical Stance,Science
152,Smells,Mind
162,Gender Exclusion,Political
141,Phenomenal Concepts,Mind
139,Pasadena Problem,Ethics
148,Medicine,Science
166,Thought Experiments,Epistemology
142,Luminosity,Epistemology
161,Bare Particulars,Metaphysics
