journal,type
Acta Analytica,G
American Catholic Philosophical Quarterly,G
American Philosophical Quarterly,G
Analysis,G
Analytic Philosophy,G
Archiv Fur Geschichte Der Philosophie,Sp
Archive For History Of Exact Sciences,Sc
Archives De Philosophie,Sp
Australasian Journal Of Philosophy,G
Biology & Philosophy,Sc
British Journal For The History Of Philosophy,Sp
British Journal For The Philosophy Of Science,Sc
British Journal Of Aesthetics,V
Canadian Journal Of Philosophy,G
Contemporary Pragmatism,Sp
Croatian Journal Of Philosophy,G
Dialectica,G
Dialogue,G
Diogenes,Sp
Episteme,Sp
Ergo,G
Erkenntnis,G
Ethical Theory And Moral Practice,V
Ethics,V
Etudes Philosophiques,G
European Journal Of Philosophy,G
Hegel-Studien,Sp
Heythrop Journal,Sp
History And Philosophy Of Logic,Sp
Hume Studies,Sp
Husserl Studies,Sp
Hypatia,Sp
Inquiry,G
International Journal For Philosophy Of Religion,Sp
International Philosophical Quarterly,G
Journal Of Aesthetics And Art Criticism,V
Journal Of Applied Philosophy,Sp
Journal Of Chinese Philosophy,Sp
Journal Of Consciousness Studies,Sp
Journal Of Indian Philosophy,Sp
Journal Of Moral Philosophy,V
Journal Of Philosophical Logic,Sp
Journal Of Philosophy,G
Journal Of Social Philosophy,Sp
Journal Of Speculative Philosophy,Sp
Journal Of The British Society For Phenomenology,Sp
Journal Of The History Of Ideas,Sp
Journal Of The History Of Philosophy,Sp
Journal Of The Philosophy Of History,Sp
Journal Of Value Inquiry,V
Kant-Studien,Sp
Kantian Review,Sp
Kennedy Institute Of Ethics Journal,V
Logique Et Analyse,Sp
Metaphilosophy,Sp
Mind,G
Minerva,Sp
Minnesota Studies In The Philosophy Of Science,Sc
Monist,Sp
Notre Dame Journal Of Formal Logic,Sp
Noûs,G
Pacific Philosophical Quarterly,G
Philosophers Imprint,G
Philosophia,G
Philosophia Mathematica,Sc
Philosophical Forum,G
Philosophical Investigations,G
Philosophical Issues,Sp
Philosophical Papers,G
Philosophical Perspectives,Sp
Philosophical Quarterly,G
Philosophical Review,G
Philosophical Studies,G
Philosophy,G
Philosophy & Public Affairs,V
Philosophy And Phenomenological Research,G
Philosophy And Rhetoric,Sp
Philosophy Compass,G
Philosophy East & West,Sp
Philosophy Of Science,Sc
Philosophy Of The Social Sciences,Sc
Phronesis,Sp
Ratio,G
Res Philosophica,G
Review Of Metaphysics,Sp
Review Of Symbolic Logic,Sp
Revue Internationale De Philosophie,G
Rivista Di Storia Della Filosofia,G
Russell,Sp
Social Epistemology,Sp
South African Journal Of Philosophy,G
Southern Journal Of Philosophy,G
Studia Leibnitiana,Sp
Studia Logica,Sp
Studies In History And Philosophy Of Science,Sc
Synthese,G
Theoria,G
Thought,G
Topoi,G
Transactions Of The Charles S Peirce Society,Sp
Utilitas,V
Vivarium,V
